borough_x,block,lot,sale_price,zip_code,borough_y,yearbuilt,lotarea,bldgarea,resarea,comarea,unitsres,unitstotal,numfloors,latitude,longitude,landuse,bldgclass,building_age,dist_to_tacobell,dist_to_chipotle
4,9492,71,800000,11419.0,QN,1920.0,2523.0,1298.0,1298.0,0.0,2.0,2.0,2.5,40.6910263,-73.8204336,1.0,B3,105.0,0.21118802363110536,0.9046341141550301
4,9493,31,765000,11419.0,QN,1925.0,2018.0,1264.0,1264.0,0.0,2.0,2.0,2.0,40.6904253,-73.8187548,1.0,B3,100.0,0.2520133374966371,0.8870174668270167
4,9493,39,705000,11419.0,QN,1925.0,1848.0,1296.0,1296.0,0.0,2.0,2.0,2.0,40.690027,-73.8185576,1.0,B3,100.0,0.2492120162232894,0.904954309428351
4,9499,63,525000,11419.0,QN,1915.0,2521.0,1512.0,1512.0,0.0,2.0,2.0,2.0,40.6912541,-73.8152007,1.0,B2,110.0,0.4445112091172378,0.7489388549280305
4,9501,27,753828,11419.0,QN,1915.0,2523.0,1632.0,1632.0,0.0,2.0,2.0,2.5,40.6918986,-73.8132011,1.0,B3,110.0,0.5584536486049281,0.6717110565987977
4,9506,7,835000,11417.0,QN,1960.0,2500.0,3025.0,2200.0,0.0,2.0,2.0,2.0,40.683687,-73.8391338,1.0,B1,65.0,0.9157466012930086,1.7950127561736378
4,9507,17,1525000,11417.0,QN,1925.0,3314.0,2484.0,2484.0,0.0,2.0,2.0,2.5,40.6834439,-73.837995,1.0,B3,100.0,0.8674676993818397,1.789699312722226
4,9507,19,1719711,11417.0,QN,2024.0,4192.0,2590.0,2590.0,0.0,2.0,2.0,2.0,40.6833477,-73.8379448,1.0,B2,1.0,0.8678568776965476,1.7837284931736843
4,9508,3,780000,11417.0,QN,1920.0,1725.0,1173.0,1173.0,0.0,2.0,2.0,2.0,40.6840995,-73.837723,1.0,B3,105.0,0.8364451683230726,1.837013008696954
4,9508,5,515000,11417.0,QN,1920.0,1725.0,1173.0,1173.0,0.0,2.0,2.0,2.0,40.684135,-73.8375967,1.0,B3,105.0,0.8293830373879252,1.8407963834492667
4,9510,76,760000,11417.0,QN,1920.0,1800.0,1404.0,1404.0,0.0,2.0,2.0,2.0,40.6835432,-73.8364264,1.0,B3,105.0,0.7902244059029885,1.8149747862114325
4,9512,44,920000,11417.0,QN,1920.0,2361.0,2240.0,2240.0,0.0,2.0,2.0,2.0,40.6841221,-73.8343589,1.0,B1,105.0,0.6754171802169978,1.755229917878185
4,9519,19,720000,11419.0,QN,1945.0,1840.0,1560.0,1560.0,0.0,2.0,2.0,2.0,40.6861388,-73.8282242,1.0,B1,80.0,0.3265715648828736,1.4280649447948996
4,9524,21,960000,11417.0,QN,1910.0,2300.0,2332.0,2332.0,0.0,2.0,2.0,2.0,40.681035,-73.8368147,1.0,B1,115.0,0.8978187461180693,1.6419875303400584
4,9527,8,950000,11417.0,QN,1920.0,1615.0,2320.0,1160.0,1160.0,2.0,3.0,2.0,40.6820445,-73.8363652,4.0,S2,105.0,0.8388952558072428,1.7155534808303199
4,9528,54,1059000,11417.0,QN,1920.0,2900.0,2062.0,2062.0,0.0,2.0,2.0,2.0,40.6821314,-73.8357123,1.0,B1,105.0,0.8069979370232397,1.73065186757497
4,9530,33,100000,11419.0,QN,1920.0,3025.0,1240.0,1240.0,0.0,2.0,2.0,2.5,40.6822158,-73.8333614,1.0,B3,105.0,0.704294922749765,1.7747113496539442
4,9531,75,980000,11419.0,QN,1920.0,2370.0,1952.0,,,2.0,2.0,2.0,40.6832147,-73.8332471,1.0,B2,105.0,0.65794976866616,1.7565587473153765
4,9536,51,892000,11419.0,QN,1920.0,2800.0,1328.0,1328.0,0.0,2.0,2.0,2.0,40.6832703,-73.828109,1.0,B3,105.0,0.4596790261160565,1.5751721755070776
4,9542,11,250000,11417.0,QN,1930.0,2622.0,1884.0,1884.0,0.0,2.0,2.0,2.0,40.680476,-73.8355217,1.0,B2,95.0,0.8684130795892142,1.624091902737546
4,9542,111,650000,11417.0,QN,1930.0,2313.0,1884.0,1884.0,0.0,2.0,2.0,2.0,40.6804156,-73.835493,1.0,B2,95.0,0.8699954232427292,1.6205752075109479
4,9544,9,450000,11417.0,QN,1930.0,937.0,1680.0,1680.0,0.0,2.0,2.0,2.0,40.681242,-73.8337748,1.0,B2,95.0,0.7645840601161378,1.704003929922437
4,9544,10,450000,11417.0,QN,1930.0,937.0,1610.0,1610.0,0.0,2.0,2.0,2.0,40.6811239,-73.833721,1.0,B2,95.0,0.7679942607924949,1.6973172764236495
4,9544,11,450000,11417.0,QN,1930.0,960.0,1680.0,1680.0,0.0,2.0,2.0,2.0,40.6810607,-73.8336887,1.0,B2,95.0,0.7697180175376473,1.6938105836994606
4,9544,28,925000,11417.0,QN,1920.0,2168.0,1752.0,1752.0,0.0,2.0,2.0,2.5,40.6801737,-73.8333665,1.0,B3,105.0,0.8011114444393508,1.6426543337773505
4,9544,109,450000,11417.0,QN,1930.0,937.0,1680.0,1680.0,0.0,2.0,2.0,2.0,40.6811816,-73.8337461,1.0,B2,95.0,0.7662718897858852,1.7006034900937548
4,9545,16,1308503,11419.0,QN,1935.0,2402.0,1216.0,1216.0,0.0,2.0,2.0,2.0,40.6810375,-73.8327874,1.0,B3,90.0,0.7369436466703768,1.709418465662385
